model_alias,model_name,category,total_prompts,breaches,asr,asr_percent
qwen2.5-0.5b,qwen2.5:0.5b,direct_override,22,6,0.2727,27.27
qwen2.5-0.5b,qwen2.5:0.5b,roleplay_framing,22,3,0.1364,13.64
qwen2.5-0.5b,qwen2.5:0.5b,obfuscation,23,8,0.3478,34.78
qwen2.5-0.5b,qwen2.5:0.5b,data_exfiltration,32,5,0.1562,15.62
qwen2.5-0.5b,qwen2.5:0.5b,indirect_injection,23,3,0.1304,13.04
qwen2.5-7b,qwen2.5:7b,direct_override,22,1,0.0455,4.55
qwen2.5-7b,qwen2.5:7b,roleplay_framing,22,3,0.1364,13.64
qwen2.5-7b,qwen2.5:7b,obfuscation,23,4,0.1739,17.39
qwen2.5-7b,qwen2.5:7b,data_exfiltration,32,13,0.4062,40.62
qwen2.5-7b,qwen2.5:7b,indirect_injection,23,3,0.1304,13.04
